        vg_image_id,topname,altname,responses,domain
3,desk,,{'desk': 33},home
4,rug,carpet,"{'rug': 24, 'carpet': 7, 'floor': 3}",home
8,desk,table,"{'desk': 27, 'table': 5}",home
10,desk,table,"{'desk': 25, 'table': 8}",home
11,chair,,{'chair': 33},home
12,desk,desktop,"{'desk': 24, 'desktop': 3, 'table': 1}",home
13,desk,table,"{'desk': 24, 'table': 3}",home
14,desk,table,"{'desk': 27, 'table': 4}",home
18,table,desk,"{'table': 19, 'desk': 17}",home
19,desk,table,"{'desk': 21, 'table': 7}",home
23,van,car,"{'van': 16, 'car': 14, 'vehicle': 3, 'suv': 2}",vehicles
27,floor,carpet,"{'floor': 18, 'carpet': 14}",home
28,couch,sofa,"{'couch': 21, 'sofa': 9}",home
30,cabinet,entertainment center,"{'cabinet': 12, 'entertainment center': 3, 'hatstand': 3, 'dresser': 3, 'furniture': 2}",home
32,cabinet,cabinets,"{'cabinet': 15, 'cabinets': 9, 'cupboard': 5}",home
35,desk,workstation,"{'desk': 19, 'workstation': 2}",home
37,couch,sofa,"{'couch': 21, 'sofa': 7}",home
40,chair,sofa,"{'chair': 23, 'sofa': 7, 'armchair': 2}",home
41,counter,countertop,"{'counter': 20, 'countertop': 7, 'table': 2}",home
43,counter,countertop,"{'counter': 18, 'countertop': 5, 'kitchen counter': 2}",home
65,car,vehicle,"{'car': 32, 'vehicle': 2, 'automobile': 1}",vehicles
66,carpet,floor,"{'carpet': 19, 'floor': 13, 'rug': 1}",home
72,table,dining table,"{'table': 29, 'dining table': 2}",home
83,table,desk,"{'table': 20, 'desk': 3, 'furniture': 2}",home
84,chair,bed,"{'chair': 9, 'bed': 8}",home
92,bowl,,{'bowl': 15},home
94,table,,{'table': 23},home
104,car,,{'car': 31},vehicles
114,woman,girl,"{'woman': 19, 'girl': 3, 'person': 2}",people
115,couch,sofa,"{'couch': 23, 'sofa': 6, 'furniture': 2}",home
117,bed,beds,"{'bed': 27, 'beds': 5, 'cot': 2}",home
118,chair,seat,"{'chair': 32, 'seat': 1}",home
122,counter,table,"{'counter': 14, 'table': 10, 'countertop': 5, 'island': 2, 'kitchen island': 2}",home
154,counter,table,"{'counter': 22, 'table': 6, 'countertop': 5}",home
155,man,person,"{'man': 22, 'person': 2, 'male': 1}",people
156,man,person,"{'man': 16, 'person': 4, 'human': 2, 'male': 1}",people
158,flower,,{'flower': 32},animals_plants
160,dress,uniform,"{'dress': 30, 'uniform': 2}",clothing
172,restaurant,building,"{'building': 10, 'restaurant': 10, 'cafe': 5, 'store': 2, 'patio': 2}",buildings
174,bed,,{'bed': 35},home
178,chair,,{'chair': 35},home
184,couch,sofa,"{'couch': 18, 'sofa': 14}",home
